 &SRS
<MetaDataAtStart>
features=0
beta=0.60339549327
B_10kEV=0.00818494357243
Damping=False
ISSID=py14hjcl
Name=Henry Long
Multiple Energies=False
Implantation Energy (keV)=10.0
mode=practice
</MetaDataAtStart>
&END
Time (us) @ 10keV	Channel @ 10keV
2.828	1
7.368	1
2.289	2
1.390	1
1.127	1
0.170	2
2.569	2
1.992	2
0.133	1
0.670	2
0.131	2
1.151	2
0.376	2
0.193	1
4.421	1
0.991	2
0.024	1
4.938	2
1.162	1
1.298	2
4.139	2
1.110	1
0.900	2
3.856	2
1.314	1
0.487	1
0.246	2
2.379	1
1.308	2
0.321	2
3.795	1
0.537	1
3.249	2
4.959	2
7.424	1
3.709	1
0.442	1
0.733	1
1.284	1
0.205	2
0.674	2
0.062	2
2.542	1
5.128	1
0.174	1
6.147	2
1.058	1
0.821	1
2.310	1
0.158	1
3.066	2
4.211	1
3.347	2
0.592	2
2.389	1
0.932	2
0.038	1
1.039	1
8.545	2
1.503	1
3.347	2
1.919	1
0.105	1
6.349	1
3.573	1
1.696	2
0.487	2
5.611	1
4.990	2
1.828	2
7.118	1
1.747	2
1.401	1
1.474	2
1.852	2
1.709	1
0.465	1
0.463	2
5.730	1
0.595	1
4.147	2
4.830	1
2.428	2
0.700	1
4.584	2
0.228	1
0.797	2
0.860	1
0.131	1
1.234	2
1.230	2
1.623	2
0.595	1
4.352	1
1.583	1
3.301	1
0.509	1
2.097	2
0.747	2
2.729	2
0.107	1
4.051	2
1.542	2
4.265	1
7.286	1
5.939	1
3.397	1
3.100	2
9.922	1
3.915	1
0.956	1
0.330	2
3.933	1
4.632	2
2.331	1
2.191	1
2.155	2
0.981	1
2.832	1
3.221	2
0.119	2
0.356	1
1.028	1
1.443	2
5.070	2
5.605	2
3.886	2
0.254	2
2.158	1
7.906	2
2.493	2
0.896	1
0.825	1
0.066	2
2.134	2
0.969	1
0.432	2
2.974	1
0.140	2
3.576	2
0.270	2
0.695	1
4.630	1
6.034	1
2.974	1
0.132	2
1.601	1
5.190	2
5.471	1
0.697	2
1.887	1
0.810	1
1.313	1
2.024	1
1.374	2
0.118	2
1.927	2
0.797	2
5.528	1
3.752	2
0.084	2
0.399	1
2.650	1
1.092	1
5.100	1
3.301	2
4.134	2
7.135	2
0.011	1
0.324	1
2.515	2
4.856	2
0.704	1
0.454	2
3.544	1
0.636	2
2.554	2
0.919	1
0.734	2
0.763	2
0.654	1
0.102	1
0.076	2
5.544	2
0.111	1
0.660	1
5.690	2
4.072	2
1.150	2
3.994	2
0.697	1
7.376	2
5.029	2
1.260	2
1.144	2
0.294	1
1.678	1
0.130	2
0.265	2
8.387	1
0.295	1
0.392	2
1.938	1
2.741	1
2.837	1
1.012	1
2.681	1
7.957	2
1.029	2
0.906	2
2.916	2
4.057	2
3.015	1
6.569	1
3.041	2
2.932	1
2.227	2
3.008	2
2.653	2
4.154	2
0.508	1
1.294	2
1.215	2
0.748	2
3.862	1
1.171	2
0.518	2
0.933	2
0.130	1
3.849	1
3.202	2
0.646	1
1.855	1
1.267	2
1.025	2
0.007	2
1.568	1
0.734	1
7.021	2
0.221	1
1.641	1
9.097	1
3.477	1
1.715	1
2.148	2
3.318	2
4.868	2
0.418	1
0.019	2
4.192	2
0.462	1
1.483	2
7.265	2
0.936	1
3.717	1
1.423	2
3.299	2
0.142	1
2.060	1
1.258	1
2.422	1
3.148	2
0.649	1
2.669	1
0.464	2
1.889	1
2.498	2
0.324	1
0.073	1
5.718	1
3.339	1
3.302	2
0.768	1
1.279	2
0.082	1
